title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Epouvantail";"16";"10";"-";"-";"11";"14";"+1";"+1";"+1";"+0";"47 (5d10+20)";"16, contact 10, pris au depourvu 16 (naturelle +6)";"1 200";"6 m (4 c)";"";;"2 coups, +8 (1d8+3 plus terreur)";;"regard fascinant";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"terre ferme";"aucun";"solitaire, couple ou bande (3-6)";"+5";"+8";"18";"* Source : Bestiaire 2, p.132
* Créature artificielle de taille M, N
* effet de fascination (mais s'il attaque, il s'agit bien d'une menace évidente qui met un terme à l'effet de fascination). Il s'agit d'un effet mental. Le DD du jet de sauvegarde dépend du Charisme.";"* terreur : d'un simple contact, l'epouvantail peut instiller une terreur ecrasante chez ses victimes. celles qu'il touche doivent reussir un jet de volonte de dd 14 sous peine de devoir se recroqueviller sur elles-memes et d'etre incapables d'entreprendre quelque action que ce soit si ce n'est d'effectuer un nouveau jet de volonte (contre un dd de 14) a la fin du round suivant et de chaque round par la suite pour tenter de mettre un terme a cet effet de terreur. si la victime reussit le jet de sauvegarde initial, elle est simplement secouee pendant 1 round. il s'agit d'un effet mental de terreur. le dd du jet de sauvegarde depend du charisme
* faiblesses : vulnerabilite au feu
* regard fascinant : la cible est fascinee, 9 metres (6 c), volonte dd 14 annule. la fascination continue tant que l'epouvantail reste a 90 metres (60 c) ou moins de la victime. si l'epouvantail s'approche de la victime ou qu'il s'anime, cela ne compte pas comme une menace evidente pour la victime de cet
* immunites : froid, traits des creatures artificielles
* particularites : immobilite";
"Érinye";"20";"23";"21";"14";"18";"21";"+12";"+11";"+7";"+6";"94 (9d10+45)";"23, contact 17, pris au depourvu 16 (dex +6, esquive +1, naturelle +6)";"4.800";"9 m (6 c), vol 15 m (10 c) (bonne)";"* Constant - vision lucide
* À volonté - image imparfaite (DD 17), téléportation suprême (elle-même et 25 kg d'objets uniquement), ténèbres maudites (DD 19), terreur (1 cible, DD 19)
* 1/jour - convocation (niveau 3, 2 diables barbus, 50%)";"acide 10, froid 10";"epee longue +1, +15/+10 (1d8+8/19-20)";"arc long composite de feu +1, +14/+14/+9 (1d8+6/x3 et 1d6 feu) ou corde, +15 (contact, enchevetrement)";;"attaques reflexes, esquive{b}, souplesse du serpent{b}, tir a bout portant, tir de precision, tir en mouvement, tir rapide";"acrobaties +18, bluff +17, connaissances (plans) +8, connaissances (religion) +8, diplomatie +14, discretion +15, evasion +12, intimidation +17, perception +16, psychologie +10, vol +19";;"vision dans le noir 18 m (12 c), vision dans les tenebres, vision lucide ; perception +16";"celeste, commun, draconique, infernal ; telepathie 30 m (20 c)";"quelconque (enfer)";"triple (arc long composite +1 de feu [for +5], epee longue +1, corde)";"solitaire ou trio";"+9";"+14";"31";"* Source : Bestiaire p.86
* Extérieur (diable, extraplanaire, Loi, Mal) de taille M, LM";"* enchevetrement : chaque erinye possede une corde de 15 m (10 c) qui lui permet d'enchevetrer ses adversaires (quelle que soit leur taille) comme avec un sort de corde animee (nls 16, dd 20). elle peut lancer la corde jusqu'a 6 m (4 c) sans penalite de distance. la corde ne fonctionne que pour l'erinye qui l'a fabriquee et pour personne d'autre. le dd du jet de sauvegarde depend de la dexterite
* immunites : feu, poison
* pouvoirs magiques : (nls 12{e})
* rm : 19
* rd : 5/bien";
"Étrangleur";"16";"14";"13";"4";"13";"7";"+3";"+2";"+4";"+6";"16 (3d8+3)";"17, contact 13, pris au depourvu 15 (dex +2, naturelle +4, taille +1)";"600";"6 m (4 c), escalade 3 m (2 c)";"";;"2 tentacules, +6 (1d4+3 et etreinte)";;"constriction (1d4+3),  etreinte (taille g), etranglement";"science de l'initiative, talent (discretion)";"discretion +13, escalade +16";;"vision dans le noir 18 m (12 c) ; perception +1";"commun des profondeurs";"souterrain";"standard";"solitaire, couple ou couvee (3-8)";"+2";"+4 (+8 lutte)";"16";"* Source : Bestiaire p.132
* Aberration de taille P, CM";"* particularites : rapidite
* espace : 1,50 m (1 c)
* etranglement : les etrangleurs font preuve d'un habilite sans faille lorsqu'il s'agit de saisir leurs victimes par le cou. les creatures qu'ils agrippent ne peuvent ni parler ni lancer de sorts a composantes verbales
* rapidite : la rapidite surnaturelle des etrangleurs leur permet d'accomplir une action de mouvement supplementaire lors de chacun de leur tour
* allonge : 3 m (2 c)";
"Aasimar";"8";"10";"14";"13";"17";"14";"+0";"+4";"+5";"+0";"11 (1d8+3)";"15, contact 10, pris au depourvu 15 (armure +5)";"200";"9 m (6 c) ou 6 m (4 c) en armure";"* 1/jour - lumière du jour
* 1 - bénédiction, injonction (DD 14), protection contre le Mal {D}
* 0 (à volonté) - assistance divine, détection de la magie, stabilisation
* Domaines : Bien, Guérison";"acide 5, electricite 5, froid 5";"masse d'arme lourde -1 (1d8-1)";"arbalete legere +0 (1d8/19-20)";"canalisation d'energie positive (5/jour, 1d6, dd 12) ; repousser la mort (1d4+1, 6/jour) ; toucher du bien (6/jour)";"renvoi des morts-vivants";"connaissances (religion) +5, diplomatie +8, premiers secours +7";"diplomatie +2, perception +2";"vision dans le noir (12 cases) ; perception +5";"celeste, commun, draconique";"terre ferme";"equipement de pnj (armure d'ecailles, masse d'arme lourde, arbalete legere avec 10 carreaux, autres tresors)";"solitaire, couple, ou groupe (3-6)";"+0";"-1";"9";"* Source : Bestiaire page 7
* Aasimar, prêtre de niveau 1
* Extérieur (natif) de taille M, NB";"* pouvoirs magiques : (nls 1)
* sorts prepares : (nls 1)";
"Abeille géante";"11";"14";"13";"-";"12";"9";"+3";"+4";"+2";"+2";"16 (3d8+3)";"13, contact 12, pris au depourvu 11 (dex +2, naturelle +1)";"400";"6 m (4 c), vol 18 m (12 c) (bonne)";"";;"dard, +2 (1d4 et poison)";;;;"vol +6";;"vision dans le noir 18 m (12 c) ; perception +1";;"plaines temperees ou chaudes";"fortuit";"solitaire, groupe (2-5) ou essaim (6-19)";"+2";"+2";"14 (22 contre croc-en-jambe)";"* Source : Bestiaire 2 page 8
* Vermine de taille M, N";"* vulnerable a la fumee : la fumee creee par des feux ou des effets qui en produisent beaucoup (comme un sort de pyrotechnie) rend fievreuses les abeilles geantes qui ratent un jet de vigueur de dd 14. cet etat prejudiciable s'applique tant que l'abeille reste dans la fumee et persiste 1d4 rounds supplementaires apres qu'elle en soit sortie
* poison : dard - blessure ; js vigueur dd 12 ; frequence 1/round pendant 4 rounds ; effet affaiblissement temporaire 1d2 for ; guerison 1 reussite
* faiblesses : vulnerable a la fumee
* immunites : effets mentaux";
"Abeille reine géante";"19";"11";"18";"-";"12";"13";"+2";"+9";"+3";"+0";"59 (7d8+28)";"17, contact 9, pris au depourvu 17 (naturelle +8, taille -1)";"1 600";"6 m (4 c), vol 18 m (12 c) (bonne)";"";;"dard, +8 (1d8+6 et poison)";;;;"vol +2";;"vision dans le noir 18 m (12 c) ; perception +1";;"plaines temperees ou chaudes";"fortuit (gelee royale)";"solitaire ou colonie (1 reine et 3-18 abeilles geantes)";"+5";"+10";"20 (28 contre croc-en-jambe)";"* Source : Bestiaire 2 page 8
* Vermine de taille G, N";"* immunites : effets mentaux
* espace : 3 m (2 c)
* poison : dard - blessure ; js vigueur dd 17 ; frequence 1/round pendant 4 rounds ; effet affaiblissement temporaire 1d2 con ; guerison 2 reussites consecutives
* faiblesses : vulnerable a la fumee
* allonge : 1,50 m (1 c)
* vulnerable a la fumee : la fumee creee par des feux ou des effets qui en produisent beaucoup (comme un sort de pyrotechnie) rend fievreuses les abeilles geantes qui ratent un jet de vigueur de dd 14. cet etat prejudiciable s'applique tant que l'abeille reste dans la fumee et persiste 1d4 rounds supplementaires apres qu'elle en soit sortie";
"Aboleth";"20";"12";"22";"15";"17";"17";"+5";"+8";"+11";"+5";"84 (8d8+48)";"20, contact 9, pris au depourvu 19 (dex +1, naturelle +11, taille -2)";"3.200";"3 m (2 c), nage 18 m (12 c)";"* À volonté - image prédéterminée (DD 18), image programmée (DD 19), lueurs hypnotiques (DD 15), mirage (DD 18), mur illusoire (DD 17), projection d'image (DD 20), voile (DD 19)
* 3/jour - domination universelle (DD 22)";;"4 tentacules +10 (1d6+5 et mucus)";;;"arme de predilection (tentacule), reflexes surhumains, science de l'initiative, volonte de fer";"art de la magie +13, bluff +11, connaissances (un domaine au choix) +13, intimidation +14, natation +24, perception +14";;"vision dans le noir (12 cases) ; perception +14";"aboleth, aklo, aquatique, commun des profondeurs";"milieu aquatique";"double";"solitaire, couple, nichee (3-6) ou banc (7-19)";"+6";"+13";"24 (croc-en-jambe impossible)";"* Source : Bestiaire page 8
* Aberration (aquatique) de taille TG, LM";"* mucus : une creature touchee par une tentacule d'aboleth doit effectuer un jet de vigueur dd 20. en cas d'echec, sa peau et sa chair se transforment en une membrane translucide et gluante en 1d4 rounds. la nouvelle 'peau' de la creature est souple et tendre ce qui reduit sa constitution de 4 points. si la creature ne garde pas sa 'peau' suffisamment humide, celle-ci seche rapidement et la creature subit 1d12 points de degats toutes les 10 minutes. une guerison des maladies ou un effet similaire peut rendre son etat normal a une creature affectee mais les creature immunisees contre la maladie ne le sont pas contre cet effet. le dd du jet de sauvegarde depend de la constitution
* allonge : 3
* nuage de mucus : lorsqu'elles se trouvent sous l'eau, les aboleth s'entourent d'un nuage de mucus transparent. chaque round, toutes les creatures adjacentes doivent effectuer un jet de vigueur dd 20.en cas d'echec, elles perdent leur faculte a respirer de l'air mais peuvent respirer sous l'eau pendant 3 heures. si une creature affectee rentre a nouveau en contact avec un nuage de mucus d'aboleth et rate son jet de sauvegarde, la duree de 3 heures se renouvelle. le dd depend de la constitution
* aura : nuage de mucus 1,5 m (1 c)
* pouvoirs magiques : (nls 16)
* espace : 3";
"Achaïéraï";"19";"13";"14";"11";"14";"16";"+6";"+7";"+4";"+1";"52 (7d10+14)";"20, contact 11, pris au depourvu 18 (dex +1, naturelle +9, taille -1)";"1.600";"15 m (12 c)";"";;"morsure, +10 (2d6+4) et 2 griffes, +10 (1d6+4)";;"nuage noir";"attaque eclair, attaques reflexes, esquive, souplesse du serpent";"acrobaties +11 (+19 pour sauter), discretion +7, escalade +14, natation +14, perception +12, psychologie +12, vol +0";;"vision dans le noir 18 m (12 c) ; perception +12";"infernal";"terre ferme (enfer)";"standard";"solitaire ou troupeau (5-8)";"+7";"+12";"24 (28 contre croc-en-jambe)";"* Source : Bestiaire 2 page 9
* Extérieur (extraplanaire, Loi, Mal) de taille G, LM";"* espace : 3 m (2 c)
* rm : 20
* nuage noir : un achaierai peut expirer un nuage de fumee etouffante et toxique trois fois par jour. toutes les creatures situees dans un rayon de 3 metres autour de l'achaierai voient leurs chairs fondre et pourrir et subissent immediatement 2d6 points de degats. le nuage n'attaque pas seulement la chair mais aussi l'esprit : toutes les creatures qui ont ete blessees par le nuage doivent reussir un jet de vigueur de dd 15 pour ne pas etre confuses. chaque round, la victime peut tenter un nouveau jet de vigueur contre un dd de 15 pour mettre un terme a la confusion. la confusion persiste jusqu'a ce que la victime reussisse un jet de sauvegarde (a moins qu'on y mette un terme en employant un sort ou une autre methode). l'effet de confusion est un effet mental. le dd du jet de sauvegarde depend de la constitution. il s'agit d'un effet de poison. les achaierais sont immunises contre les effets du nuage noir
* allonge : 3 m (2 c) pour les griffes";
"Aigle géant";"18";"17";"12";"10";"15";"11";"+7";"+5";"+3";"+3";"26 (4d10+4)";"15, contact 12, pris au depourvu 12 (dex +3, naturelle +3, taille -1)";"800";"3 m (2 c), vol 24 m (16 c) (moyenne)";"";;"2 griffes +7 (1d8+4), morsure +7 (1d6+4)";;;"attaque en vol, vigilance";"perception +15, psychologie +4, vol +8";"perception +4";"vision nocturne ; perception +15";"aerien (ne peut pas parler)";"montagne temperee";"aucun";"solitaire, couple ou aire (3-12)";"+4";"+9";"22";"* Source : Bestiaire page 9
* Créature magique de taille G, NB";"* espace : 2
* allonge : 1
* capacites defensives : esquive totale";
"Aigle";"10";"15";"12";"2";"15";"7";"+4";"+3";"+2";"+2";"5 (1d8+1)";"14, contact 13, pris au depourvu 12 (dex +2, naturelle +1, taille +1)";"200";"3 m (2 c), vol 24 m (16 c) (moyenne)";"";;"2 serres +3 (1d4), morsure +3 (1d4)";;;"attaque en finesse";"perception +10, vol +8";"perception +8";"vision nocturne ; perception +10";;"montagnes temperees";"aucun";"solitaire ou couple";"+0";"-1";"11";"* Source : Bestiaire page 9
* Animal de taille P, N";"* allonge : 0
* espace : 1/2";
"Ailé ténébreux";"31";"18";"-";"18";"21";"21";"+11";"+12";"+17";"+8";"195 (17d8+119)";"29, contact 12, pris au depourvu 25 (dex +4, naturelle +17, taille -2)";"38 400";"9 m (6 c), vol 18 m (12 c) (bonne)";"* Constant - détection de la magie, morsure magique
* A volonté - contagion (DD 19), ténèbres maudites (DD 19), ténèbres profondes
* 3/jour- confusion (DD 19), dissipation suprême, immobilisation de monstre (DD 20), invisibilité, rapidité
* 1/jour- changement de plan (DD 22), cône de froid (DD 20), convocation (niveau 6, 2 ombres supérieures), doigt de mort (DD 22)";;"morsure, +23 (4d8+18/19-20 plus 4d6 froid et absorption de magie)";;"canalisation d'energie negative (7d6, dd 28, 8/jour)";"attaque en puissance, attaques reflexes, capture, controle des morts-vivants, enchainement, science de la destruction, science de l'initiative, science du critique (morsure), succession d'enchainements";"art de la magie +24, connaissances (mysteres) +24, connaissances (religion) +24, discretion +16 (+24 dans les tenebres), natation +27, perception +25, psychologie +25, vol +24";"+8 en discretion dans la penombre et les tenebres";"detection de la magie, perception a travers les tenebres, vision dans le noir 18 m (12 c) ;  perception +25";"abyssal, commun, infernal ; telepathie 30 m (20 c)";"tous (plan de l'energie negative)";"standard";"solitaire, couple ou vol (3-6)";"+12";"+24";"38";"* Source : Bestiaire 2 p.262
* Mort-vivant ( extraplanaire,ténébreux) de taille TG, CM";"* faiblesses : aversion pour la lumiere
* allonge : 4,50 m (3 c)
* absorption de magie : la morsure d'un aile tenebreux absorbe les energies magiques. quand un aile tenebreux mort un ennemi, celui-ci doit effectuer un jet de volonte de dd 23 pour ne pas qu'un des sorts qui l'affectent ne soit immediatement supprime (si plusieurs sorts affectent la victime, determinez le sort supprime aleatoirement). l'aile tenebreux se guerit d'un nombre de points de vie egal au double du niveau du sort supprime. les points de vie excedentaires prennent la forme de points de vie temporaires qui persistent pendant 1 heure. si l'aile tenebreux tente une manoeuvre de destruction contre un objet magique en utilisant sa morsure, cette capacite rend l'objet non magique pendant 1d4 rounds (s'il s'agissait d'un objet permanent), absorbe 1d8 charges (s'il s'agissait d'un objet a charges) ou le rend non magique de maniere permanente (s'il s'agissait d'un objet a utilisation unique). l'objet (ou son porteur, le cas echeant) peut resister a cet effet en reussissant un jet de volonte contre un dd de 23. les degats infliges a un objet sont appliques apres que les effets de cette capacite ont ete pris en compte. le dd du jet de sauvegarde depend du charisme
* pouvoirs magiques : (nls 14 ; concentration +19)
* aura : de profanation 9 m (6 c)
* espace : 4,50 m (3 c)
* rm : 25
* rd : 15/bien et argent
* immunites : froid, traits des morts-vivants";
"Akata";"12";"15";"16";"3";"12";"11";"+2";"+3";"+4";"+6";"15 (2d8+6)";"13, contact 12, pris au depourvu 11 (dex +2, naturelle +1)";"400";"12 m (9 c), escalade 6 m (4 c)";"";"feu 30";"morsure, +2 (1d6+1 plus morsure du neant), 2 tentacules, -3 (1d3)";;;"science de l'initiative";"acrobaties +6 (+10 pour sauter), discretion +10, escalade +9";"+4 en acrobaties pour sauter";"odorat, vision dans le noir 36 m (24 c) ; perception +1";;"tous";"standard";"solitaire, couple ou meute (3-30)";"+1";"+2";"14 (18 contre croc-en-jambe)";"* Source : Bestiaire 2 page 25
* Aberration de taille M, N
* Mort du néant : Morsure - blessure ; JdS Vig DD 12 ; incubation 1 heure ; fréquence 1/jour ; effet affaiblissement temporaire 1d2 Dex et 1d2 Con et toute créature infectée qui meurt se relève sous la forme d'un zombi du néant 2d4 heures plus tard (voir ci-contre) ; guérison 2 réussites consécutives.";"* faiblesses : sourd, vulnerable a l'eau de mer
* capacites defensives : ne respire pas
* immunites : froid, maladie, poison
* morsure du neant : les akatas abritent dans leur gueule des centaines de larves microscopiques. ils transmettent ces parasites a des hotes en les mordant. seuls les humanoides font des hotes viables pour les jeunes akatas ; tous les autres types de creatures sont immunises contre cette infection parasite. la maladie en elle-meme est connue sous le nom de « mort du neant »
* sourd : les akatas n'ont aucune capacite auditive. ils sont immunises contre les sorts et les effets necessitant une cible dotee d'ouie et ne peuvent pas faire de tests de perception auditive
* vulnerable a l'eau de mer : l'eau de mer agit comme un acide tres puissant sur les akatas. une simple eclaboussure leur inflige 1d6 points de degats et, en cas d'immersion complete, ils subissent 4d6 points de degats par round
* particularites : hibernation
* hibernation : les akatas peuvent entrer en hibernation pour une periode illimitee lorsque la nourriture se fait rare. quand un akata desire hiberner, il cherche un repaire ou se cacher et s'entoure d'une couche de materiel fibreux qu'il excrete par sa bouche. ces fibres durcissent rapidement en un cocon fait d'une matiere quasiment aussi dense que du metal. un akata en hibernation n'a besoin ni de manger ni de boire. le cocon a une solidite de 10 points et possede 60 points de vie, il est immunise contre le feu et les degats de type contondant (y compris ceux provoques par des chutes). tant que le cocon reste intact, l'akata en son sein ne peut etre blesse. l'akata reste en hibernation jusqu'a ce qu'il sente la presence d'une autre creature vivante dans un rayon de 3 metres ou qu'il soit expose a une chaleur extreme. a ce moment, il utilise ses griffes pour se frayer un passage hors du cocon en 1d4 minutes. une fois brise, le cocon se decompose en fragments de metal etrange";
